t,x,y,z,qx,qy,qz,qw
1403636581713555456,-0.001204109,-0.000131029,0.001690265,-0.002548091,0.024180388,-0.016603457,0.999566495
1403636581763555584,-0.000795370,0.006557257,0.003720444,-0.004570067,0.022925459,-0.015038827,0.999613583
1403636581813555456,-0.000464924,0.012983388,0.005356194,-0.007093809,0.019920584,-0.015045316,0.999663174
1403636581863555584,-0.000183123,0.019620728,0.007125009,-0.010548123,0.018705400,-0.014308521,0.999666989
1403636581913555456,-0.000128651,0.026718089,0.008661137,-0.014553297,0.017257599,-0.012204184,0.999670625
1403636581963555584,-0.000074671,0.032960139,0.010236415,-0.022462728,0.019424511,-0.011187267,0.999496341
1403636582013555456,-0.000028594,0.038982507,0.011943270,-0.031328313,0.021491779,-0.010402130,0.999223948
1403636582063555584,0.000039226,0.045347109,0.013197586,-0.037804659,0.022759339,-0.010023179,0.998975635
1403636582113555456,-0.000045126,0.049703564,0.014114706,-0.046872132,0.022288119,-0.010734534,0.998594522
1403636582163555584,-0.000436472,0.053234421,0.014724619,-0.053171143,0.020731978,-0.010354543,0.998316467
1403636582213555456,-0.000678184,0.054866880,0.014930448,-0.059237774,0.018933792,-0.010446481,0.998009682
1403636582263555584,-0.000957387,0.054766681,0.014854983,-0.062766969,0.017991209,-0.010740894,0.997808218
1403636582313555456,-0.001210431,0.052771673,0.014270326,-0.063625000,0.016177960,-0.010542826,0.997787058
1403636582363555584,-0.001721936,0.049189560,0.013310098,-0.060554273,0.015326072,-0.009795943,0.997999191
1403636582413555456,-0.002156412,0.043871481,0.012025384,-0.055332679,0.014914189,-0.009769614,0.998308778
1403636582463555584,-0.002516805,0.038298201,0.010539353,-0.046716053,0.014826783,-0.008888761,0.998758614
1403636582513555456,-0.002815492,0.031976584,0.009004991,-0.039926060,0.016292455,-0.011061603,0.999008596
1403636582563555584,-0.002994281,0.024819577,0.007357437,-0.035842031,0.018110631,-0.011860495,0.999122977
1403636582613555456,-0.002998153,0.018474773,0.005655855,-0.031773109,0.020846993,-0.013806728,0.999182343
1403636582663555584,-0.002984994,0.011833748,0.003775113,-0.028443957,0.023482013,-0.013969889,0.999221861
1403636582713555456,-0.003023135,0.004648393,0.001961908,-0.027415950,0.024991691,-0.013666684,0.999218166
1403636582763555584,-0.002869651,-0.001850351,0.000256196,-0.023038581,0.027270071,-0.011690559,0.999294221
1403636582813555456,-0.002393292,-0.008223577,-0.001299847,-0.017166246,0.030257560,-0.008856139,0.999355495
1403636582863555584,-0.001965488,-0.014680753,-0.002915686,-0.009556791,0.034827668,-0.006185096,0.999328494
1403636582913555456,-0.001644894,-0.021010559,-0.004708137,-0.000976906,0.037981573,-0.003395777,0.999272168
1403636582963555584,-0.001188009,-0.026115930,-0.006186830,0.008257887,0.039687958,-0.002785601,0.999174118
1403636583013555456,-0.000794955,-0.029834781,-0.007833870,0.017682219,0.041330498,-0.002205550,0.998986602
1403636583063555584,-0.001144759,-0.031994089,-0.008995599,0.023656376,0.041837733,-0.004155623,0.998835683
1403636583113555456,-0.000622205,-0.035175648,-0.008318714,0.020439139,0.042616013,-0.005908790,0.998864949
1403636583163555584,-0.000565365,-0.034710526,-0.008296741,0.020404547,0.044784166,-0.008313541,0.998753667
1403636583213555456,-0.000315661,-0.032499708,-0.007340887,0.018981898,0.045230445,-0.010345882,0.998742640
1403636583263555584,-0.000110621,-0.029090619,-0.006240875,0.016535884,0.044582590,-0.011199825,0.998806059
1403636583313555456,-0.000134374,-0.022722261,-0.005577193,0.019396905,0.043579001,-0.010300508,0.998808503
1403636583363555584,0.000411616,-0.017425597,-0.003338182,0.016279452,0.042699661,-0.010978326,0.998894930
1403636583413555456,0.000738003,-0.011913432,-0.001364095,0.013023551,0.040491432,-0.010017627,0.999044776
1403636583463555584,0.000985036,-0.005277034,0.000818869,0.008997286,0.038370691,-0.012421910,0.999145865
1403636583513555456,0.001517250,0.001173192,0.002782660,0.004576863,0.036765534,-0.013130116,0.999227166
1403636583563555584,0.001902872,0.008044329,0.004837099,-0.000667226,0.036447696,-0.015369415,0.999217153
1403636583613555456,0.002236798,0.015243115,0.007211032,-0.006795513,0.039017264,-0.017073415,0.999069571
1403636583663555584,0.002480544,0.022442663,0.009115570,-0.014867811,0.036030117,-0.015230590,0.999124050
1403636583713555456,0.002596039,0.028919082,0.010845330,-0.026441349,0.034186821,-0.011100709,0.999003947
1403636583763555584,0.002699692,0.034966320,0.012253898,-0.038283791,0.032016482,-0.007163431,0.998728216
1403636583813555456,0.002648775,0.041159101,0.013567172,-0.047092240,0.032037929,-0.004935133,0.998364449
1403636583863555584,0.002992658,0.046343040,0.014791668,-0.054863419,0.031448957,-0.004402638,0.997988760
1403636583913555456,0.003141440,0.050755423,0.015668277,-0.060522977,0.031906594,-0.007693956,0.997627079
1403636583963555584,0.003083271,0.054202449,0.016223203,-0.064140901,0.030346055,-0.010735608,0.997421563
1403636584013555456,0.002708827,0.056813266,0.016466882,-0.064665310,0.028060950,-0.011786162,0.997442782
1403636584063555584,0.002516611,0.057924852,0.016261583,-0.064547196,0.023802586,-0.013191579,0.997543514
1403636584113555456,0.002222009,0.057405315,0.015974594,-0.064388812,0.020743312,-0.012790591,0.997627258
1403636584163555584,0.001903139,0.055385381,0.015353756,-0.064311370,0.018806804,-0.012965040,0.997668386
1403636584213555456,0.001633455,0.051956393,0.014570491,-0.063895471,0.018221246,-0.013281981,0.997701824
1403636584263555584,0.001552325,0.047156833,0.013594909,-0.062709153,0.017568860,-0.013455306,0.997786462
1403636584313555456,0.001288356,0.041918624,0.012316547,-0.059873156,0.017670486,-0.013169316,0.997962713
1403636584363555584,0.001001285,0.035558220,0.011044383,-0.058459327,0.019367250,-0.015406742,0.997982979
1403636584413555456,0.001059542,0.028914297,0.009750144,-0.055670112,0.023074767,-0.018603384,0.998009205
1403636584463555584,0.001131036,0.021224512,0.008503083,-0.053641427,0.026389334,-0.021574641,0.997978330
1403636584513555456,0.000991923,0.014194643,0.007026178,-0.047349464,0.028351378,-0.022679068,0.998218358
1403636584563555584,0.000848210,0.006232424,0.005579341,-0.040958259,0.030180814,-0.021918897,0.998464346
1403636584613555456,0.000793558,-0.001253707,0.003935248,-0.031157384,0.032812942,-0.021183548,0.998751104
1403636584663555584,0.000626171,-0.008452087,0.002259346,-0.019957235,0.036683846,-0.019472180,0.998937845
1403636584713555456,0.000620070,-0.015405698,0.000613204,-0.008879578,0.039721124,-0.018773127,0.998994946
1403636584763555584,0.000456989,-0.021607362,-0.001001309,0.001905062,0.043513581,-0.017789880,0.998892605
1403636584813555456,0.000385767,-0.027207009,-0.002926574,0.011067892,0.045382090,-0.017687371,0.998751760
1403636584863555584,0.000411810,-0.031863220,-0.004513038,0.017659655,0.046032108,-0.015204436,0.998668134
1403636584913555456,-0.000118137,-0.036917582,-0.005488641,0.018854663,0.045523465,-0.014680275,0.998677433
1403636584963555584,0.000016681,-0.039198454,-0.006448664,0.021399733,0.046215214,-0.011007081,0.998641610
1403636585013555456,-0.000486178,-0.039638065,-0.006347965,0.021551311,0.048253980,-0.010278462,0.998549640
1403636585063555584,-0.000073815,-0.038915902,-0.005582230,0.019828102,0.049711976,-0.008776207,0.998528183
1403636585113555456,-0.000741605,-0.037410546,-0.005334633,0.016975932,0.050577775,-0.008855326,0.998536587
1403636585163555584,-0.000602069,-0.034330223,-0.004024672,0.013759752,0.053026520,-0.008278338,0.998463988
1403636585213555456,-0.000143551,-0.029480884,-0.003388246,0.013646369,0.055714756,-0.007731349,0.998323560
1403636585263555584,0.000298581,-0.024713989,-0.001578062,0.009841283,0.058922295,-0.011237885,0.998150826
1403636585313555456,0.001201618,-0.020113183,0.001004619,0.005542463,0.061102174,-0.014497290,0.998010814
1403636585363555584,0.001914935,-0.014584382,0.002968428,0.001768092,0.062394179,-0.018932268,0.997870445
1403636585413555456,0.002427007,-0.009051802,0.004641867,-0.001741146,0.062880717,-0.020921007,0.997800231
1403636585463555584,0.002742788,-0.003237401,0.006177936,-0.005870636,0.059914280,-0.022985546,0.997921586
1403636585513555456,0.003141363,0.001953501,0.007564427,-0.011870158,0.057170890,-0.023987090,0.998005569
1403636585563555584,0.003353297,0.007067022,0.008143915,-0.018013002,0.051125810,-0.024926921,0.998218596
1403636585613555456,0.003552757,0.011372122,0.008320005,-0.024990235,0.044419147,-0.024641711,0.998396277
1403636585663555584,0.003627497,0.015107204,0.008112099,-0.032061923,0.038084231,-0.022754073,0.998500824
1403636585713555456,0.003628462,0.018223403,0.007519578,-0.039760239,0.031612605,-0.019703554,0.998514652
1403636585763555584,0.003719682,0.020777222,0.006915192,-0.046828166,0.027378920,-0.016393036,0.998393118
1403636585813555456,0.003566891,0.022227619,0.006015829,-0.054993201,0.022989390,-0.012319596,0.998145998
1403636585863555584,0.003464654,0.023321910,0.004965110,-0.064022079,0.019441174,-0.008868195,0.997719705
1403636585913555456,0.003345237,0.023822082,0.003934148,-0.073329903,0.016880678,-0.005829067,0.997147858
1403636585963555584,0.003333472,0.023997488,0.002967285,-0.084062144,0.017088307,-0.003432378,0.996308088
1403636586013555456,0.003210002,0.024081638,0.002333776,-0.096101291,0.020589391,-0.001312324,0.995157719
1403636586063555584,0.003271987,0.023998110,0.001731839,-0.108498946,0.027453337,-0.001229394,0.993716657
1403636586113555456,0.003071985,0.023825049,0.001172040,-0.119362012,0.033906057,0.001030716,0.992271125
1403636586163555584,0.002684003,0.023544261,0.000581297,-0.128842309,0.039102331,0.003183615,0.990888774
1403636586213555456,0.002147765,0.023181571,-0.000214322,-0.137463823,0.041419052,0.005264082,0.989626408
1403636586263555584,0.001700116,0.023083478,-0.001248225,-0.146749854,0.042220388,0.006822322,0.988248646
1403636586313555456,0.001417750,0.022929287,-0.002245312,-0.156624928,0.042982262,0.009284969,0.986678720
1403636586363555584,0.001065923,0.022910941,-0.003452738,-0.167081609,0.044279907,0.011556908,0.984880447
1403636586413555456,0.000931498,0.022932136,-0.004650665,-0.177387431,0.044837330,0.014522296,0.983011901
1403636586463555584,0.001103101,0.023158409,-0.005841999,-0.187051088,0.044614483,0.014635424,0.981227398
1403636586513555456,0.001266394,0.023287633,-0.007148525,-0.195377618,0.044685956,0.013965651,0.979609966
1403636586563555584,0.001741832,0.023250397,-0.008238642,-0.201979682,0.043294128,0.013245048,0.978342652
1403636586613555456,0.002387962,0.022918258,-0.008996639,-0.205976501,0.041848511,0.013114656,0.977573693
1403636586663555584,0.003316939,0.022481775,-0.009440663,-0.206464902,0.041756626,0.013939067,0.977463186
1403636586713555456,0.004324078,0.022058180,-0.009646560,-0.203888759,0.040747374,0.013980763,0.978045821
1403636586763555584,0.005212678,0.021675415,-0.009603510,-0.199937865,0.038380697,0.014980008,0.978941977
1403636586813555456,0.006134538,0.021255372,-0.009383957,-0.195786834,0.036675509,0.014916457,0.979846895
1403636586863555584,0.006782999,0.021119036,-0.009012341,-0.192217439,0.035814650,0.014087563,0.980597436
1403636586913555456,0.007203582,0.021032298,-0.008526989,-0.189454019,0.034089465,0.012000742,0.981224239
1403636586963555584,0.007600733,0.020938136,-0.008097569,-0.187319294,0.031536207,0.010889646,0.981732309
1403636587013555456,0.007817073,0.020818701,-0.007546754,-0.186245739,0.029013896,0.008134592,0.982041061
1403636587063555584,0.007927538,0.020621492,-0.007076619,-0.186908737,0.027791847,0.006849532,0.981960177
1403636587113555456,0.008284505,0.020369511,-0.006554938,-0.189476863,0.026462011,0.004971768,0.981515944
1403636587163555584,0.008807652,0.020264616,-0.006007892,-0.191762403,0.026258366,0.003350001,0.981084287
1403636587213555456,0.009624173,0.020106565,-0.005434236,-0.193261430,0.025441620,0.002943399,0.980812967
1403636587263555584,0.010815546,0.019952396,-0.004821299,-0.194257647,0.025793422,0.003635538,0.980604649
1403636587313555456,0.012425283,0.019807912,-0.004150956,-0.194763079,0.026462989,0.004453792,0.980483174
1403636587363555584,0.014430157,0.019574486,-0.003415910,-0.195444942,0.027903695,0.005258272,0.980303526
1403636587413555456,0.016691269,0.019275742,-0.002735845,-0.196340680,0.029149164,0.006534368,0.980080605
1403636587463555584,0.019242201,0.019020757,-0.002133444,-0.197350934,0.030439753,0.008582473,0.979822636
1403636587513555456,0.022201950,0.018809445,-0.001530929,-0.198391780,0.031327687,0.010788009,0.979562640
1403636587563555584,0.025535954,0.018578004,-0.001092112,-0.198961332,0.032380100,0.012828898,0.979388297
1403636587613555456,0.029652894,0.018276136,-0.000581515,-0.198223829,0.033112831,0.014518960,0.979489684
1403636587663555584,0.033351127,0.017767122,-0.000105909,-0.196415588,0.035778947,0.016413923,0.979730248
1403636587713555456,0.036955167,0.017430190,0.000530995,-0.192485794,0.039235149,0.018488789,0.980340719
1403636587763555584,0.040816110,0.016838335,0.001032144,-0.188591316,0.042929042,0.021851003,0.980873585
1403636587813555456,0.044783898,0.016269831,0.001367200,-0.186358541,0.046903640,0.023975231,0.981068671
1403636587863555584,0.049410895,0.015910838,0.001761310,-0.185338736,0.048103265,0.025780292,0.981158018
1403636587913555456,0.053086188,0.015991015,0.002140104,-0.186501309,0.051771652,0.027262496,0.980710804
1403636587963555584,0.056727115,0.016119368,0.002455886,-0.190105334,0.056316562,0.027753666,0.979754150
1403636588013555456,0.060065325,0.016354639,0.002633522,-0.195542097,0.061496068,0.028298840,0.978356123
1403636588063555584,0.062919773,0.016823322,0.003270573,-0.200368345,0.066103801,0.029823309,0.977032959
1403636588113555456,0.066242658,0.017290208,0.003558395,-0.203661740,0.065674603,0.031071408,0.976341784
1403636588163555584,0.068411998,0.017743543,0.003710091,-0.205498978,0.066840902,0.030469535,0.975896537
1403636588213555456,0.070411049,0.018081103,0.003946427,-0.205851272,0.065957859,0.030745821,0.975873709
1403636588263555584,0.071719147,0.018335383,0.004223600,-0.205261156,0.065629691,0.030838065,0.976017237
1403636588313555456,0.072657153,0.018419988,0.004417339,-0.203803539,0.064584918,0.031753719,0.976362944
1403636588363555584,0.073538221,0.018767238,0.004431709,-0.201676056,0.062084213,0.032454949,0.976943672
1403636588413555456,0.073541760,0.018870646,0.004376491,-0.200240493,0.061805073,0.033723444,0.977213740
1403636588463555584,0.073225781,0.019039510,0.004257418,-0.199591756,0.061616719,0.034523096,0.977330387
1403636588513555456,0.072563805,0.019088414,0.004036254,-0.200146824,0.063239105,0.033475023,0.977149665
1403636588563555584,0.071518250,0.018949844,0.003783774,-0.199896827,0.063802011,0.032716755,0.977189958
1403636588613555456,0.069761127,0.018743785,0.003435400,-0.199436665,0.063852511,0.032511894,0.977287531
1403636588663555584,0.067547351,0.018449718,0.002855120,-0.198975518,0.063266024,0.032305144,0.977426469
1403636588713555456,0.065090530,0.018350294,0.002260090,-0.199590206,0.061152861,0.032786906,0.977419615
1403636588763555584,0.062479354,0.018612385,0.001699992,-0.200833872,0.058133084,0.031804271,0.977381587
1403636588813555456,0.059194505,0.018716417,0.001126566,-0.202412277,0.056653690,0.031081596,0.977166116
1403636588863555584,0.055868093,0.018894257,0.000601215,-0.203243598,0.053845964,0.030817131,0.977160633
1403636588913555456,0.052120127,0.019056464,0.000250717,-0.203088388,0.050865542,0.030788008,0.977353513
1403636588963555584,0.047611989,0.019094232,-0.000358382,-0.202376202,0.049120314,0.029751532,0.977622569
1403636589013555456,0.043425664,0.019029256,-0.001076511,-0.200385645,0.045782480,0.028451828,0.978233159
1403636589063555584,0.039039541,0.018911678,-0.001722655,-0.197986707,0.042381547,0.027086806,0.978913367
1403636589113555456,0.034502428,0.018658759,-0.002495238,-0.195393920,0.039080750,0.024895975,0.979629576
1403636589163555584,0.029179774,0.018248759,-0.003210050,-0.193083346,0.038247243,0.024256509,0.980136514
1403636589213555456,0.024426032,0.018128216,-0.003859762,-0.191472322,0.035717592,0.023091402,0.980576038
1403636589263555584,0.019463060,0.018028749,-0.004567360,-0.191476107,0.033412166,0.021990297,0.980681896
1403636589313555456,0.014252179,0.017953059,-0.005130288,-0.192973331,0.030862115,0.019973686,0.980515063
1403636589363555584,0.009241659,0.018230934,-0.005600686,-0.194970697,0.027775254,0.018661387,0.980238080
1403636589413555456,0.004254804,0.018422075,-0.005974054,-0.196946129,0.025471764,0.016370002,0.979946673
1403636589463555584,-0.000852802,0.018647671,-0.006488352,-0.197280243,0.024377618,0.014430780,0.979937732
1403636589513555456,-0.005539691,0.018922564,-0.006775950,-0.196679071,0.022287559,0.013642119,0.980119646
1403636589563555584,-0.010796528,0.019347239,-0.007112659,-0.195130736,0.021112168,0.013495342,0.980457127
1403636589613555456,-0.016136236,0.019768212,-0.007643322,-0.193682656,0.020466842,0.011955805,0.980777860
1403636589663555584,-0.020806301,0.020064093,-0.007932775,-0.192734003,0.018427785,0.010967567,0.981016695
1403636589713555456,-0.025561174,0.020424249,-0.008440468,-0.192085221,0.016690945,0.010065885,0.981184661
1403636589763555584,-0.030207137,0.020814575,-0.008936341,-0.192719460,0.012966100,0.009968265,0.981117606
1403636589813555456,-0.034427568,0.021478880,-0.009248957,-0.194773093,0.008050759,0.009292969,0.980771244
1403636589863555584,-0.039254278,0.022280261,-0.009413026,-0.197807938,0.006131996,0.008222050,0.980187118
1403636589913555456,-0.043128338,0.022809543,-0.009931052,-0.201125994,0.001738183,0.007554348,0.979534745
1403636589963555584,-0.046393845,0.023481769,-0.009845991,-0.203188390,-0.003136009,0.007980143,0.979102135
1403636590013555456,-0.049562983,0.023953399,-0.010156561,-0.202814519,-0.007508395,0.007985237,0.979155838
1403636590063555584,-0.051950935,0.024255781,-0.010261048,-0.200168669,-0.011503754,0.007496117,0.979665220
1403636590113555456,-0.054301560,0.024404945,-0.010684091,-0.196306571,-0.013888888,0.007251635,0.980417371
1403636590163555584,-0.055917259,0.024363009,-0.010921527,-0.192896664,-0.016402284,0.007247109,0.981055200
1403636590213555456,-0.056874860,0.024214171,-0.011142982,-0.190960363,-0.017422153,0.006541929,0.981421351
1403636590263555584,-0.056616783,0.024133740,-0.011364653,-0.190067336,-0.018362349,0.005890241,0.981581628
1403636590313555456,-0.056169257,0.024068305,-0.011799812,-0.190511391,-0.017205819,0.004594491,0.981523454
1403636590363555584,-0.055149984,0.023852799,-0.011957361,-0.192061365,-0.014781955,0.004073155,0.981263161
1403636590413555456,-0.053174566,0.023721039,-0.012428966,-0.192550719,-0.012358618,0.004140515,0.981200457
1403636590463555584,-0.050832756,0.023342114,-0.012599222,-0.192560956,-0.008127323,0.003804656,0.981243968
1403636590513555456,-0.047824156,0.022993214,-0.013077805,-0.191470474,-0.004851361,0.002967600,0.981481910
1403636590563555584,-0.044369925,0.022659464,-0.013207670,-0.190004915,-0.001250164,0.002309764,0.981779635
1403636590613555456,-0.040656894,0.022336191,-0.013295934,-0.188353717,0.001903345,0.001114139,0.982098758
1403636590663555584,-0.036454726,0.021893635,-0.013540027,-0.187558427,0.004881919,0.001454999,0.982240260
1403636590713555456,-0.032240868,0.021640984,-0.013549739,-0.187626168,0.008283031,0.002235160,0.982203066
1403636590763555584,-0.027818535,0.021401871,-0.013452618,-0.189174682,0.011280457,0.003310327,0.981873035
1403636590813555456,-0.022952588,0.021524925,-0.013116875,-0.191401348,0.011646750,0.005031790,0.981429815
1403636590863555584,-0.018239427,0.021508325,-0.012802893,-0.194564030,0.013282705,0.007093741,0.980774224
1403636590913555456,-0.013449038,0.021440372,-0.012419118,-0.197325140,0.015105128,0.008123661,0.980188012
1403636590963555584,-0.008475538,0.021408206,-0.011992808,-0.198500067,0.017064899,0.008876133,0.979912102
1403636591013555456,-0.003455231,0.021389693,-0.011692855,-0.198549137,0.017298743,0.009242229,0.979894638
1403636591063555584,0.001713026,0.021356609,-0.011142001,-0.197385520,0.015901718,0.010102801,0.980144918
1403636591113555456,0.006424099,0.021109644,-0.010682588,-0.196956381,0.015201351,0.011016700,0.980232477
1403636591163555584,0.011132654,0.021024885,-0.010100585,-0.196879834,0.015088090,0.012529784,0.980231464
1403636591213555456,0.015503817,0.020915255,-0.009528146,-0.197575599,0.015798250,0.013818649,0.980062962
1403636591263555584,0.019522494,0.021009779,-0.008986993,-0.198688060,0.017194655,0.014563297,0.979803741
1403636591313555456,0.023422074,0.021234820,-0.008259549,-0.199954107,0.018749125,0.015181842,0.979508221
1403636591363555584,0.026671782,0.021631923,-0.007616377,-0.201136246,0.021256117,0.016158260,0.979199290
1403636591413555456,0.029310066,0.021949416,-0.006929144,-0.202133670,0.023979459,0.017205140,0.978913128
1403636591463555584,0.031936638,0.022534881,-0.006145025,-0.201999515,0.024380092,0.018892856,0.978899837
1403636591513555456,0.034079310,0.023062637,-0.005271814,-0.201107413,0.027062649,0.018720035,0.979016364
1403636591563555584,0.036022604,0.023631526,-0.004279921,-0.197306022,0.033027228,0.019077675,0.979599714
1403636591613555456,0.037717987,0.024054300,-0.003014375,-0.191283762,0.041304864,0.020017110,0.980461001
1403636591663555584,0.038960677,0.024495540,-0.001738895,-0.182048678,0.048400514,0.020553228,0.981882513
1403636591713555456,0.040000051,0.024684414,-0.000608743,-0.171888098,0.053836666,0.019701023,0.983447015
1403636591763555584,0.040855281,0.024575602,0.000188348,-0.161563680,0.059372745,0.018581465,0.984899342
1403636591813555456,0.041513871,0.024389911,0.001129405,-0.150789544,0.065563262,0.017886216,0.986227214
1403636591863555584,0.042217847,0.024101960,0.001883082,-0.141831636,0.070341848,0.018726433,0.987210810
1403636591913555456,0.042828757,0.023720864,0.002699745,-0.136405423,0.075177103,0.019735325,0.987599373
1403636591963555584,0.043580830,0.023345044,0.003535297,-0.135953754,0.079063594,0.023505693,0.987275541
1403636592013555456,0.044567801,0.022962900,0.004711530,-0.139346555,0.083409362,0.026728200,0.986362517
1403636592063555584,0.045746628,0.022571240,0.006296877,-0.142765045,0.088880815,0.030496744,0.985285878
1403636592113555456,0.047250561,0.022061922,0.008138156,-0.146555454,0.093793765,0.034637742,0.984136403
1403636592163555584,0.048709892,0.021527322,0.010136114,-0.150724486,0.098637775,0.038691629,0.982881308
1403636592213555456,0.050187483,0.021047510,0.012353682,-0.155328795,0.102155067,0.041116908,0.981706023
1403636592263555584,0.051578913,0.020417180,0.014728967,-0.159967899,0.103903979,0.042642888,0.980711877
1403636592313555456,0.052595064,0.019785769,0.017163994,-0.163694501,0.103680559,0.043452859,0.980084836
1403636592363555584,0.053323992,0.018818889,0.020018384,-0.167535663,0.101641253,0.045916140,0.979536891
1403636592413555456,0.053508375,0.017949130,0.022928756,-0.169889182,0.097381547,0.046437975,0.979539692
1403636592463555584,0.053157806,0.016798249,0.026005026,-0.170225099,0.092115246,0.046092216,0.980006993
1403636592513555456,0.052337915,0.015619182,0.029267401,-0.167849153,0.085076764,0.043757305,0.981159449
1403636592563555584,0.051155925,0.014429347,0.032494124,-0.163457185,0.077004358,0.040423471,0.982709527
1403636592613555456,0.049197767,0.013444704,0.035585526,-0.158297822,0.068734929,0.036181986,0.984331310
1403636592663555584,0.046883151,0.012641862,0.038856365,-0.154251307,0.060398579,0.030350300,0.985716701
1403636592713555456,0.044086058,0.011849235,0.041899711,-0.152063429,0.051114339,0.025562825,0.986717045
1403636592763555584,0.040709481,0.011097406,0.044353820,-0.151774392,0.039409611,0.020563552,0.987415075
1403636592813555456,0.036730155,0.010474867,0.046264879,-0.152199060,0.026215222,0.017238207,0.987851739
1403636592863555584,0.031934753,0.010428378,0.048076153,-0.153889611,0.012291380,0.014219663,0.987909257
1403636592913555456,0.026592216,0.010564225,0.049376145,-0.156355515,-0.002419008,0.010276507,0.987644434
1403636592963555584,0.020439202,0.010666952,0.049225088,-0.159505889,-0.016657280,0.006671586,0.987033904
1403636593013555456,0.014359765,0.011343519,0.048779238,-0.162070915,-0.031489324,0.003245819,0.986271203
1403636593063555584,0.008038536,0.011627722,0.046739686,-0.165623412,-0.045700315,-0.000533983,0.985129476
1403636593113555456,0.000938147,0.012605993,0.044316143,-0.167144269,-0.057973936,-0.006229161,0.984206796
