x,y,z,qw,qx,qy,qz
46.195917,-0.384589,-2.382362,0.999999,-0.000089,-0.001457,-0.000479
47.319734,-0.392722,-2.518613,0.999999,-0.000361,-0.001622,-0.000105
48.452481,-0.406529,-2.641267,0.999999,-0.000309,-0.001395,-0.000404
49.604899,-0.424813,-2.739180,1.000000,-0.000280,-0.000683,-0.000254
50.763357,-0.428716,-2.855547,0.999999,0.000058,-0.001090,-0.000960
51.883322,-0.435664,-2.972838,1.000000,0.000161,-0.000905,0.000280
53.026353,-0.428033,-3.100635,0.999999,-0.000560,-0.001053,0.000101
54.203795,-0.408542,-3.210046,1.000000,-0.000516,-0.000504,0.000265
55.338524,-0.410478,-3.337678,0.999999,0.000104,-0.001170,-0.000482
56.491247,-0.414875,-3.481523,0.999999,-0.000156,-0.001139,0.000544
57.575093,-0.423700,-3.603960,0.999999,-0.000336,-0.000902,0.000510
58.705773,-0.424657,-3.725975,0.999999,-0.000367,-0.000692,0.000675
59.793889,-0.427768,-3.871668,0.999998,-0.000931,-0.001473,0.001041
60.879748,-0.420524,-4.016035,0.999999,-0.000961,-0.000914,0.001104
61.955288,-0.420508,-4.136511,1.000000,-0.000503,-0.000305,-0.000770
63.021304,-0.419605,-4.278885,0.999999,-0.000400,-0.000400,0.001042
64.066769,-0.415860,-4.412475,1.000000,0.000070,-0.000599,-0.000513
65.110795,-0.415047,-4.563623,0.999999,0.001289,-0.000658,-0.000159
66.153189,-0.426381,-4.703789,0.999999,0.000871,-0.000642,-0.000268
67.191557,-0.417406,-4.841836,0.999999,-0.000907,-0.000175,0.000662
68.217221,-0.416107,-4.973498,1.000000,-0.000651,-0.000086,0.000122
69.227433,-0.415369,-5.114502,1.000000,0.000023,-0.000382,0.000221
70.235590,-0.411990,-5.240225,1.000000,0.000054,0.000252,-0.000690
71.229010,-0.404206,-5.361829,1.000000,-0.000184,0.000257,-0.000166
72.217573,-0.400498,-5.499871,1.000000,-0.000077,-0.000353,0.000725
73.251826,-0.398821,-5.683660,1.000000,-0.000333,-0.000488,0.000172
74.217908,-0.398157,-5.820766,1.000000,-0.000143,0.000019,0.000509
75.172016,-0.397756,-5.959984,1.000000,-0.000277,-0.000231,-0.000745
76.138665,-0.383980,-6.113797,1.000000,-0.000769,-0.000189,0.000586
77.073833,-0.375169,-6.236493,1.000000,-0.000593,0.000291,-0.000497
78.010651,-0.400873,-6.348774,1.000000,-0.000025,0.000471,0.000413
78.953228,-0.394264,-6.492235,0.999999,-0.000835,0.000037,0.000626
79.844800,-0.394791,-6.611058,1.000000,-0.000359,0.000275,0.000405
80.755835,-0.376753,-6.731996,1.000000,-0.000378,0.000128,0.000697
81.651299,-0.379017,-6.873092,0.999999,0.000764,-0.000256,0.000658
82.559099,-0.374737,-7.009374,0.999999,0.000812,-0.000054,0.000944
83.451294,-0.358743,-7.144215,0.999999,0.000577,0.000133,0.000992
84.324853,-0.345599,-7.280017,0.999999,0.000082,0.000038,0.001270
85.187749,-0.342053,-7.400646,1.000000,-0.000189,0.000094,0.000689
86.066211,-0.339647,-7.528794,1.000000,-0.000063,0.000247,0.000715
86.932848,-0.338206,-7.654667,0.999999,0.001014,-0.000013,0.000143
87.765359,-0.337426,-7.781260,0.999999,0.001028,0.000072,0.000319
88.569823,-0.347623,-7.898394,1.000000,0.000658,0.000081,-0.000246
89.390022,-0.346645,-8.012361,1.000000,-0.000135,0.000265,0.000388
90.202228,-0.350179,-8.124832,0.999999,-0.000021,0.000040,-0.001088
91.011177,-0.341498,-8.235737,0.999999,-0.000801,0.000231,-0.000677
91.806081,-0.337175,-8.346963,1.000000,-0.000626,0.000025,-0.000257
92.583575,-0.339997,-8.449424,1.000000,-0.000537,0.000217,-0.000758
93.336840,-0.334794,-8.565119,1.000000,-0.000464,0.000116,-0.000397
94.083555,-0.329439,-8.669865,1.000000,-0.000261,0.000031,-0.000430
94.793754,-0.325947,-8.764784,1.000000,0.000128,0.000222,-0.000387
95.539753,-0.323901,-8.868806,1.000000,0.000428,0.000242,-0.000566
96.269064,-0.320016,-8.948203,1.000000,-0.000332,0.000388,-0.000768
96.991288,-0.319848,-9.042696,1.000000,-0.000267,0.000217,-0.000158
97.695584,-0.316197,-9.149496,1.000000,-0.000296,-0.000181,-0.000098
98.404402,-0.303345,-9.240179,0.999999,-0.000013,-0.000344,-0.001003
99.103316,-0.303334,-9.333070,0.999999,0.000815,-0.000341,-0.000635
99.767674,-0.298091,-9.423408,1.000000,-0.000146,-0.000492,-0.000420
100.426637,-0.294668,-9.519320,1.000000,0.000229,-0.000379,0.000046
101.061112,-0.288083,-9.604997,1.000000,-0.000050,-0.000374,0.000261
101.724303,-0.273751,-9.693822,1.000000,0.000148,-0.000415,-0.000703
102.328043,-0.280402,-9.772193,0.999999,0.000219,-0.000450,-0.000989
102.932609,-0.272479,-9.852253,1.000000,-0.000060,-0.000363,-0.000729
103.527448,-0.271096,-9.939636,1.000000,0.000264,-0.000353,-0.000113
104.103924,-0.278343,-10.029374,1.000000,-0.000142,-0.000329,0.000243
104.655549,-0.270185,-10.102741,1.000000,-0.000566,0.000165,-0.000318
105.178953,-0.268749,-10.174067,0.999999,-0.000060,0.000012,-0.001656
105.684830,-0.260383,-10.254697,0.999998,0.000401,-0.000181,-0.002175
106.183153,-0.257437,-10.324120,1.000000,-0.000352,0.000031,-0.000585
106.643122,-0.265988,-10.401839,0.999998,-0.000510,-0.000197,0.002062
